transaction_id,date,vendor_name,employee_id,amount,currency,description,invoice_number,department,payment_method
T00001,2023-01-26 00:00,African Procurement Co,EMP004,33421.46,USD,Office supplies,INV-0280,Maintenance,EFT
T00002,2023-04-06 00:00,H@rare Steel Supplies,EMP001,288960.34,USD,Off the books adjustment,INV-FRAUD-0001,Maintenance,Cash
T00003,2023-01-07 00:00,ZimBuild Materials,EMP007,34194.57,USD,Spare parts,INV-0080,Operations,Cash
T00004,2024-01-25 00:00,ZimBuild Materials,EMP003,16770.15,ZIG,Raw materials purchase,INV-CUR-0003,Maintenance,EFT
T00005,2024-01-23 00:00,Msasa Trading,EMP010,3730.25,ZIG,Spare parts,INV-0099,Procurement,EFT
T00006,2023-10-24 00:00,African Procurement Co,EMP002,44337.92,USD,Stationery,INV-0233,Finance,Cheque
T00007,2023-08-03 00:00,Kwekwe Foundry,EMP002,30223.85,ZIG,Packaging materials,INV-0274,Finance,Cash
T00008,2023-10-04 00:00,Gweru Components,EMP009,44530.65,USD,Factory consumables,INV-0029,Procurement,Cash
T00009,2024-02-15 00:00,African Procurement Co,EMP010,12194.79,ZIG,Spare parts,INV-0256,Maintenance,Mobile Money
T00010,2023-05-23 00:00,Chitungwiza Parts,EMP009,5500.0,USD,Workshop tools,INV-0123,Maintenance,Mobile Money
T00011,2023-05-22 00:00,Bulawayo Metals Ltd,EMP001,23026.78,ZIG,Equipment maintenance,INV-0082,Procurement,Mobile Money
T00012,2024-09-02 00:00,Shell Vendor B,EMP005,44826.24,USD,Workshop tools,INV-0059,Operations,Cheque
T00013,2024-03-21 00:00,African Procurement Co,EMP001,5500.0,ZIG,Cleaning materials,INV-0042,Operations,EFT
T00014,2024-06-03 00:00,ZimBuild Materials,EMP006,27481.87,ZIG,Office supplies,INV-0272,Operations,EFT
T00015,2023-04-25 00:00,Msasa Trading,EMP004,41823.62,ZIG,Raw materials purchase,INV-0291,Procurement,EFT
T00016,2023-03-12 00:00,Shell Vendor B,EMP003,44013.71,USD,Office supplies,INV-0282,Operations,Cash
T00017,2024-09-13 00:00,African Procurement Co,EMP009,19156.58,USD,Factory consumables,INV-0205,Maintenance,Cheque
T00018,2024-04-07 00:00,African Procurement Co,EMP002,5620.99,USD,Spare parts,INV-0284,Finance,Cash
T00019,2024-10-08 00:00,Shell Vendor B,EMP001,143575.07,USD,Exception waiver approved,INV-FRAUD-0018,Maintenance,Mobile Money
T00020,2023-05-16 00:00,Mutare Fabricators,EMP010,32606.19,ZIG,Safety equipment,INV-0243,Finance,Mobile Money
T00021,2024-11-05 00:00,African Procurement Co,EMP003,40173.58,ZIG,Safety equipment,INV-CUR-0020,Procurement,EFT
T00022,2024-10-23 00:00,H@rare Steel Supplies,EMP006,4609.12,ZIG,Equipment maintenance,INV-0099,Maintenance,Cash
T00023,2023-07-07 00:00,African Procurement Co,EMP004,12000.0,USD,Equipment maintenance,INV-0123,Procurement,EFT
T00024,2024-07-07 00:00,Bulawayo Metals Ltd,EMP004,37654.04,USD,Office supplies,INV-0249,Finance,Mobile Money
T00025,2023-03-02 00:00,Harare Steel Supplies,EMP007,7575.74,USD,Cleaning materials,INV-0147,Maintenance,Mobile Money
T00026,2023-10-31 22:00,Msasa Trading,EMP002,14624.51,USD,Salary adjustment,INV-PAY-0025,Operations,EFT
T00027,2024-08-21 00:00,Shell Vendor A,EMP001,523877.07,USD,Confidential direct award,INV-FRAUD-0026,Procurement,Cash
T00028,2023-08-29 00:00,Mutare Fabricators,EMP004,18289.14,ZIG,Packaging materials,INV-0021,Maintenance,EFT
T00029,2024-08-01 00:00,Msasa Trading,EMP004,23620.67,ZIG,Spare parts,INV-0136,Finance,Mobile Money
T00030,2023-11-04 00:00,Bulawayo Metals Ltd,EMP001,20683.66,ZIG,Safety equipment,INV-0289,Procurement,EFT
T00031,2024-06-02 00:00,Chitungwiza Parts,EMP002,12080.98,USD,Factory consumables,INV-0146,Maintenance,Cash
T00032,2023-11-06 00:00,Gweru Components,EMP009,27603.16,ZIG,Raw materials purchase,INV-0154,Finance,EFT
T00033,2023-04-20 00:00,ZimBuild Materials,EMP005,33460.27,ZIG,Cleaning materials,INV-0108,Finance,Cheque
T00034,2023-09-28 00:00,Msasa Trading,EMP001,22842.33,USD,Equipment maintenance,INV-0142,Procurement,EFT
T00035,2023-05-14 00:00,Msasa Trading,EMP003,28742.68,ZIG,Safety equipment,INV-0219,Procurement,EFT
T00036,2023-06-02 00:00,Shell Vendor B,EMP001,586486.62,USD,Urgent sole supplier payment,INV-FRAUD-0035,Operations,Mobile Money
T00037,2023-02-10 00:00,African Procurement Co,EMP004,40471.82,USD,Equipment maintenance,INV-0287,Finance,Mobile Money
T00038,2023-08-31 00:00,ZimBuild Materials,EMP007,38934.34,ZIG,Raw materials purchase,INV-0171,Finance,Mobile Money
T00039,2023-04-21 00:00,Harare Steel Supplies,EMP008,17337.87,ZIG,Factory consumables,INV-0236,Operations,Cheque
T00040,2023-08-22 00:00,Gweru Components,EMP004,10186.97,USD,Stationery,INV-0143,Operations,EFT
T00041,2024-06-05 00:00,Shell Vendor B,EMP006,18105.59,USD,Raw materials purchase,INV-0134,Operations,Cash
T00042,2024-09-02 00:00,Shell Vendor B,EMP001,473000.0,USD,Off the books adjustment,INV-FRAUD-0041,Operations,Cash
T00043,2024-03-22 00:00,Shell Vendor B,EMP002,91539.06,USD,Emergency procurement no tender,INV-FRAUD-0042,Operations,Mobile Money
T00044,2023-05-08 00:00,Msasa Trading,EMP009,32444.99,USD,Cleaning materials,INV-0168,Operations,Mobile Money
T00045,2023-07-16 00:00,H@rare Steel Supplies,EMP003,19036.0,ZIG,Packaging materials,INV-0155,Procurement,Mobile Money
T00046,2023-08-04 00:00,Mutare Fabricators,EMP010,19458.99,USD,Spare parts,INV-0227,Finance,Mobile Money
T00047,2023-06-23 00:00,Msasa Trading,EMP009,29716.51,USD,Packaging materials,INV-0048,Operations,Cash
T00048,2023-07-23 00:00,Harare Steel Supplies,EMP004,6801.46,ZIG,Safety equipment,INV-0038,Maintenance,Mobile Money
T00049,2024-08-12 00:00,Kwekwe Foundry,EMP007,8910.7,USD,Safety equipment,INV-0125,Procurement,Cash
T00050,2023-04-20 00:00,African Procurement Co,EMP003,35073.23,USD,Workshop tools,INV-0026,Procurement,Cash
T00051,2024-04-20 00:00,Shell Vendor B,EMP010,30107.48,USD,Spare parts,INV-0259,Maintenance,Mobile Money
T00052,2024-05-01 00:00,African Procurement Co,EMP005,20363.13,USD,Workshop tools,INV-0123,Maintenance,Cheque
T00053,2023-10-20 00:00,H@rare Steel Supplies,EMP001,271000.0,USD,Confidential direct award,INV-FRAUD-0052,Finance,Cash
T00054,2023-06-06 00:00,Bulawayo Metals Ltd,EMP007,31847.58,USD,Stationery,INV-0278,Maintenance,Mobile Money
T00055,2024-03-06 00:00,H@rare Steel Supplies,EMP002,444423.51,USD,Sole source no tender required,INV-FRAUD-0054,Operations,Cash
T00056,2024-02-04 00:00,H@rare Steel Supplies,EMP009,38434.47,ZIG,Workshop tools,INV-0113,Finance,Mobile Money
T00057,2024-05-12 00:00,Chitungwiza Parts,EMP007,1500.31,USD,Office supplies,INV-0066,Maintenance,EFT
T00058,2024-11-09 00:00,Gweru Components,EMP007,1414.17,USD,Office supplies,INV-0094,Operations,EFT
T00059,2023-08-05 00:00,Chitungwiza Parts,EMP007,20570.53,USD,Cleaning materials,INV-0130,Maintenance,EFT
T00060,2024-07-06 00:00,H@rare Steel Supplies,EMP001,137397.85,USD,Urgent sole supplier payment,INV-FRAUD-0059,Finance,Cash
T00061,2023-01-29 00:00,Shell Vendor A,EMP002,179000.0,USD,Packaging materials,INV-PE-0060,Operations,Mobile Money
T00062,2023-06-21 00:00,Kwekwe Foundry,EMP002,27343.99,USD,Office supplies,INV-0056,Operations,EFT
T00063,2024-01-20 00:00,Kwekwe Foundry,EMP004,17970.12,ZIG,Equipment maintenance,INV-0125,Operations,EFT
T00064,2024-09-06 00:00,Mutare Fabricators,EMP001,36287.65,ZIG,Spare parts,INV-0220,Procurement,Cheque
T00065,2023-12-16 00:00,H@rare Steel Supplies,EMP008,766.82,USD,Equipment maintenance,INV-0186,Finance,Mobile Money
T00066,2024-06-18 00:00,Msasa Trading,EMP010,43453.22,USD,Workshop tools,INV-0239,Operations,Mobile Money
T00067,2023-09-09 00:00,Bulawayo Metals Ltd,EMP005,37416.75,ZIG,Safety equipment,INV-0238,Operations,Mobile Money
T00068,2023-11-29 00:00,Shell Vendor B,EMP002,208000.0,USD,Advance payment cash only,INV-FRAUD-0067,Procurement,Mobile Money
T00069,2023-07-15 00:00,Kwekwe Foundry,EMP007,4035.46,ZIG,Safety equipment,INV-0124,Maintenance,Mobile Money
